Cluster,Max Best Score,Min Best Score,Max Avg,Min Avg,Max Var,Min Var,Max CV,Min CV,Max FFT,Min FFT,Mean Best,Mean Avg,Mean Var,Mean CV,Mean FFT
0,22.56,21.63,23.58,22.1811,5.7324,1.1994,3.5502,0.7865,23.44,21.92,22.18064516,22.92063871,2.7298,1.792106452,22.66580645
1,23.06,22.49,24.4455,22.95,8.8388,0.9395,4.3908,0.493,24.6,22.64,22.80542857,23.5316,2.516282857,1.935127143,23.33814286
2,23.75,22.8,24.985,23.23,33.9683,0.5282,7.7037,0.1267,24.91,22.8,23.30848101,23.96896582,3.108020886,1.853286709,23.69607595
3,24.13,23.4,25.2029,23.88,10.2404,0.4147,9.5688,0.4038,33.58,23.48,23.81326797,24.40669281,2.914843137,1.780694118,24.18882353
4,24.36,23.85,25.9889,24.2267,61.2372,0.7251,5.3067,0.067,25.49,23.89,24.08625,24.72206406,3.772242188,1.834670313,24.3878125
