Cluster,Max Best Score,Min Best Score,Max Avg,Min Avg,Max Var,Min Var,Max CV,Min CV,Max FFT,Min FFT,Mean Best,Mean Avg,Mean Var,Mean CV,Mean FFT
0,52.6,50.43,54.0339,51.3767,6.0024,0.5305,3.5504,0.3243,53.5,50.74,51.66416667,52.82273333,1.7748125,1.534116667,52.24958333
1,54.43,51.98,56.3388,53.2133,10.7694,0.4902,3.6735,0.1722,55.16,52.36,53.39179487,54.75522692,1.470646154,1.740476923,53.90794872
2,56.19,53.61,57.8167,54.84,80.1784,0.5411,3.2183,0.0225,59.19,53.81,55.04447853,56.38909202,1.812173006,1.630914724,55.7291411
3,57.6,55.04,58.6167,56.54,42.4264,0.6546,2.6541,0.0412,59.81,56,56.41579439,57.59502991,1.759850467,1.401957944,57.19252336
4,58.67,56.77,59.1825,57.935,4.0532,0.8465,2.0208,0.4213,59.91,57.56,57.62392857,58.52863571,1.795592857,1.115732143,58.54678571
