Cluster,Max Best Score,Min Best Score,Max Avg,Min Avg,Max Var,Min Var,Max CV,Min CV,Max FFT,Min FFT,Mean Best,Mean Avg,Mean Var,Mean CV,Mean FFT
0,23.31,22.34,24.1888,22.4683,106.066,0.2785,14.8466,0.041,23.93,22.45,22.87088235,23.42255588,6.517823529,1.823238235,23.11176471
1,24.14,23.09,25.1633,23.4833,15.523,0.2941,13.5128,0.2682,24.69,23.17,23.62376,24.173708,3.324616,1.7038016,23.84848
2,24.81,23.69,25.6508,24.1967,14.6352,0.4738,8.3182,0.2819,25.6,23.77,24.25694301,24.78228238,3.496080311,1.511345078,24.53222798
3,25.57,23.9,26.6565,24.8167,42.4264,0.6771,5.8633,0.095,27.59,24.64,24.805,25.34328289,3.907776316,1.572918421,25.17736842
4,25.58,25.12,26.4975,25.49,6.8409,1.4712,2.5652,0.5732,26.32,25.12,25.294,25.72115,3.36498,1.39192,25.596
