Cluster,Max Best Score,Min Best Score,Max Avg,Min Avg,Max Var,Min Var,Max CV,Min CV,Max FFT,Min FFT,Mean Best,Mean Avg,Mean Var,Mean CV,Mean FFT
0,51.38,48.89,53.3888,49.9114,3.5083,0.4997,3.8678,0.5519,52.41,49.82,50.37411765,51.94278235,1.321594118,1.872305882,51.14941176
1,52.25,51.24,54.4426,52.01,3.3032,0.4827,3.8051,0.5816,53.5,51.7,51.6975,53.00537917,1.476045833,1.592841667,52.43583333
2,53.51,51.71,56.8322,53.0206,10.6066,0.5644,3.2117,0.1772,56.24,52.35,52.72728814,54.12551864,1.531810169,1.657744068,53.48830508
3,55.07,52.74,57.2873,54.2125,6.5227,0.4591,3.8705,0.2825,58.95,53.64,54.19822368,55.55454605,1.353411184,1.677,54.87967105
4,56.51,54.05,58.5586,55.52,53.033,0.5196,3.3862,0.0334,58.83,55.08,55.66185792,56.86560437,1.75824153,1.49822459,56.28338798
